eval/mean_reward,eval/mean_ep_length,time/total_timesteps,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/loss,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed
20.919116973876953,12.0,199680,0.0003,-2.3026500158011913,-0.013258427509572356,970,0.480859375,0.12882864,14.493960843980313,0.2,0.0,5.193898677825928,,,,,
24.142913818359375,12.0,200704,,,,,,,,,,,,,,,
22.483413696289062,12.0,201728,0.0003,-2.302620939910412,0.006751413195161149,980,0.441943359375,0.120321125,12.591944013535976,0.2,0.0,5.061662673950195,,,,,
22.995929718017578,12.0,202752,,,,,,,,,,,,,,,
15.886444091796875,12.0,203776,0.0003,-2.3043704986572267,-0.003499804199964274,990,0.4673828125,0.11555647,15.189969009160995,0.2,0.0,6.715938568115234,,,,,
24.493587493896484,12.0,204800,,,,,,,,,,,,,,,
,,204800,,,,,,,,,,,100,18.11205163,577,12.0,354
13.711812973022461,12.0,205824,0.0003,-2.2946368016302587,-0.006196626331075095,1000,0.41826171875,0.12162953,15.32769954353571,0.2,0.0,8.495674133300781,,,,,
19.227249145507812,12.0,206848,,,,,,,,,,,,,,,
10.341531753540039,12.0,207872,0.0003,-2.2792785443365573,-0.02077636312460527,1010,0.482958984375,0.124527015,12.737135803699493,0.2,0.0,8.321139335632324,,,,,
21.136131286621094,12.0,208896,,,,,,,,,,,,,,,
24.456649780273438,12.0,209920,0.0003,-2.2670460775494576,-0.012929287836595905,1020,0.5130859375,0.17028353,13.075024963915348,0.2,-1.1920928955078125e-07,5.793757438659668,,,,,
25.6285343170166,12.0,210944,,,,,,,,,,,,,,,
18.08501434326172,12.0,211968,0.0003,-2.257403273880482,-0.010064580457401462,1030,0.431982421875,0.16248406,14.851389557123184,0.2,0.0,7.617454528808594,,,,,
15.059575080871582,12.0,212992,,,,,,,,,,,,,,,
23.347597122192383,12.0,214016,0.0003,-2.2836433932185174,0.008765101696189959,1040,0.46904296875,0.14476338,13.529469029605389,0.2,5.960464477539063e-08,7.39500093460083,,,,,
22.964046478271484,12.0,215040,,,,,,,,,,,,,,,
9.745696067810059,12.0,216064,0.0003,-2.294063030928373,0.00033460798440501096,1050,0.41513671875,0.11160623,10.511099338531494,0.2,0.0,4.140749454498291,,,,,
24.244340896606445,12.0,217088,,,,,,,,,,,,,,,
17.345458984375,12.0,218112,0.0003,-2.287122617661953,-0.012614354604738764,1060,0.41416015625,0.10141262,12.706236864626408,0.2,-1.1920928955078125e-07,7.1142778396606445,,,,,
14.834024429321289,12.0,219136,,,,,,,,,,,,,,,
18.13871955871582,12.0,220160,0.0003,-2.2956454761326315,-0.015854504470189566,1070,0.412744140625,0.094286814,15.41985751390457,0.2,0.0,7.193079471588135,,,,,
22.584144592285156,12.0,221184,,,,,,,,,,,,,,,
17.987096786499023,12.0,222208,0.0003,-2.290133824199438,-0.014079066454723944,1080,0.407421875,0.100939974,13.308563244342803,0.2,0.0,8.413835525512695,,,,,
15.416041374206543,12.0,223232,,,,,,,,,,,,,,,
23.7550048828125,12.0,224256,0.0003,-2.2681858845055105,-0.029124886434874497,1090,0.455908203125,0.12690252,13.946530771255492,0.2,0.0,5.420626640319824,,,,,
23.492610931396484,12.0,225280,,,,,,,,,,,,,,,
,,225280,,,,,,,,,,,110,21.995409080000005,579,12.0,388
22.124988555908203,12.0,226304,0.0003,-2.275979844480753,-0.02250941746024182,1100,0.485791015625,0.11695342,12.590357212722301,0.2,5.960464477539063e-08,7.065126895904541,,,,,
12.862283706665039,12.0,227328,,,,,,,,,,,,,,,
20.71050453186035,12.0,228352,0.0003,-2.2874055303633214,-0.020424784091301263,1110,0.50390625,0.115962565,12.363566018640995,0.2,-1.1920928955078125e-07,5.135399341583252,,,,,
17.06374740600586,12.0,229376,,,,,,,,,,,,,,,
20.42685317993164,12.0,230400,0.0003,-2.2900549709796905,-0.025711791958019602,1120,0.441845703125,0.11266509,13.741196167469024,0.2,0.0,5.665252208709717,,,,,
18.548892974853516,12.0,231424,,,,,,,,,,,,,,,
17.853656768798828,12.0,232448,0.0003,-2.2670709609985353,-0.012396816103137098,1130,0.42216796875,0.1264073,14.090063387155533,0.2,5.960464477539063e-08,6.880706310272217,,,,,
21.462879180908203,12.0,233472,,,,,,,,,,,,,,,
16.671165466308594,12.0,234496,0.0003,-2.2622443668544294,-0.005218469539249782,1140,0.42265625,0.12773189,15.779468968510628,0.2,0.0,8.207868576049805,,,,,
23.72690773010254,12.0,235520,,,,,,,,,,,,,,,
20.213619232177734,12.0,236544,0.0003,-2.2704381115734575,-0.017423139511083718,1150,0.4642578125,0.13375543,13.435052134096622,0.2,0.0,6.866348743438721,,,,,
24.938230514526367,12.0,237568,,,,,,,,,,,,,,,
12.467781066894531,12.0,238592,0.0003,-2.2681939147412775,0.00040393658346147274,1160,0.468994140625,0.13753408,12.698097170889378,0.2,5.960464477539063e-08,6.176263809204102,,,,,
12.548876762390137,12.0,239616,,,,,,,,,,,,,,,
19.570262908935547,12.0,240640,0.0003,-2.2693814344704153,-0.00324443451827392,1170,0.4353515625,0.14406085,14.77199583053589,0.2,5.960464477539063e-08,8.29520320892334,,,,,
20.069412231445312,12.0,241664,,,,,,,,,,,,,,,
17.03931427001953,12.0,242688,0.0003,-2.270776801556349,0.009846440701221582,1180,0.41064453125,0.13280977,19.269663563370706,0.2,-1.1920928955078125e-07,9.763517379760742,,,,,
12.356976509094238,12.0,243712,,,,,,,,,,,,,,,
21.44317626953125,12.0,244736,0.0003,-2.25556250885129,-0.009956426236021798,1190,0.454345703125,0.15681434,12.779732136428356,0.2,0.0,7.453698635101318,,,,,
16.26962661743164,12.0,245760,,,,,,,,,,,,,,,
,,245760,,,,,,,,,,,120,18.1746212,580,12.0,423
13.847471237182617,12.0,246784,0.0003,-2.252234763652086,-0.005603752577735576,1200,0.416943359375,0.1369337,13.838787153363228,0.2,-1.1920928955078125e-07,6.475683212280273,,,,,
14.187200546264648,12.0,247808,,,,,,,,,,,,,,,
16.411075592041016,12.0,248832,0.0003,-2.265113849937916,-0.013042198680341243,1210,0.4765625,0.14554532,15.985814034938812,0.2,5.960464477539063e-08,9.041823387145996,,,,,
21.271774291992188,12.0,249856,,,,,,,,,,,,,,,
21.76634979248047,12.0,250880,0.0003,-2.290601956099272,-0.013636296289041639,1220,0.4875,0.11103223,16.406573420763017,0.2,0.0,7.44631814956665,,,,,
23.01804542541504,12.0,251904,,,,,,,,,,,,,,,
20.753847122192383,12.0,252928,0.0003,-2.2839454509317876,-0.012980530751519836,1230,0.414404296875,0.11726521,14.723443314433098,0.2,0.0,5.186562538146973,,,,,
19.311737060546875,12.0,253952,,,,,,,,,,,,,,,
21.197587966918945,12.0,254976,0.0003,-2.284833388775587,-0.003453541781345848,1240,0.39326171875,0.13102473,13.8805675894022,0.2,5.960464477539063e-08,10.69115924835205,,,,,
16.945829391479492,12.0,256000,,,,,,,,,,,,,,,
17.331138610839844,12.0,257024,0.0003,-2.2891562812030317,-0.013779658516432392,1250,0.427490234375,0.09572817,11.613184151053428,0.2,5.960464477539063e-08,5.306461334228516,,,,,
22.7200927734375,12.0,258048,,,,,,,,,,,,,,,
18.73955535888672,12.0,259072,0.0003,-2.295691265165806,-0.008784718344395514,1260,0.3962890625,0.097265065,12.62481694817543,0.2,0.0,6.817769527435303,,,,,
14.16767692565918,12.0,260096,,,,,,,,,,,,,,,
19.600051879882812,12.0,261120,0.0003,-2.281279397755861,-0.010040118628239725,1270,0.411669921875,0.112380534,13.292545682191848,0.2,0.0,6.12970495223999,,,,,
22.904550552368164,12.0,262144,,,,,,,,,,,,,,,
18.65960693359375,12.0,263168,0.0003,-2.279159716516733,-0.027463927675853483,1280,0.4369140625,0.13316992,13.999603840708733,0.2,0.0,5.362486362457275,,,,,
9.733831405639648,12.0,264192,,,,,,,,,,,,,,,
14.187446594238281,12.0,265216,0.0003,-2.255728606134653,-0.015320310385868651,1290,0.43564453125,0.14471534,15.098011705279351,0.2,1.1920928955078125e-07,5.627126693725586,,,,,
24.354019165039062,12.0,266240,,,,,,,,,,,,,,,
,,266240,,,,,,,,,,,130,18.790116029999997,582,12.0,457
21.660144805908203,12.0,267264,0.0003,-2.255432926863432,0.011051369109191,1300,0.48017578125,0.15403113,13.458265006542206,0.2,0.0,4.300085067749023,,,,,
12.308832168579102,12.0,268288,,,,,,,,,,,,,,,
20.062702178955078,12.0,269312,0.0003,-2.2623031437397003,-0.009202996180101763,1310,0.421826171875,0.13343371,15.985914623737335,0.2,0.0,4.95630407333374,,,,,
16.30593490600586,12.0,270336,,,,,,,,,,,,,,,
18.027427673339844,12.0,271360,0.0003,-2.256225097924471,-0.011245071211305913,1320,0.439794921875,0.13647506,13.556835994124413,0.2,0.0,8.122797966003418,,,,,
19.12078857421875,12.0,272384,,,,,,,,,,,,,,,
23.238075256347656,12.0,273408,0.0003,-2.2794813007116317,-0.010823378515488003,1330,0.419580078125,0.11629243,13.960719010233879,0.2,-1.1920928955078125e-07,7.314191818237305,,,,,
25.71924591064453,12.0,274432,,,,,,,,,,,,,,,
22.712684631347656,12.0,275456,0.0003,-2.283547769486904,-0.015179700287990271,1340,0.40419921875,0.101292945,13.32008013576269,0.2,0.0,7.4780707359313965,,,,,
18.180633544921875,12.0,276480,,,,,,,,,,,,,,,
25.32318115234375,12.0,277504,0.0003,-2.286941862851381,-0.02214340127829928,1350,0.506298828125,0.11500684,15.23962641954422,0.2,0.0,8.073875427246094,,,,,
9.781224250793457,12.0,278528,,,,,,,,,,,,,,,
21.312885284423828,12.0,279552,0.0003,-2.2801703408360483,-0.0007958909554872662,1360,0.46376953125,0.113977805,12.437732055783272,0.2,0.0,5.554565906524658,,,,,
16.999805450439453,12.0,280576,,,,,,,,,,,,,,,
12.11197280883789,12.0,281600,0.0003,-2.281250735372305,0.0072633728486835025,1370,0.404541015625,0.08511344,14.803285819292068,0.2,-1.1920928955078125e-07,5.628628253936768,,,,,
15.47143840789795,12.0,282624,,,,,,,,,,,,,,,
21.06732940673828,12.0,283648,0.0003,-2.2780231423676014,-0.012670970251201652,1380,0.394189453125,0.10591687,14.645180416107177,0.2,0.0,8.3086519241333,,,,,
24.780282974243164,12.0,284672,,,,,,,,,,,,,,,
21.70348358154297,12.0,285696,0.0003,-2.2333301968872545,-0.00808695886080386,1390,0.46396484375,0.14134392,12.965632601082325,0.2,-1.1920928955078125e-07,6.336888790130615,,,,,
24.410240173339844,12.0,286720,,,,,,,,,,,,,,,
,,286720,,,,,,,,,,,140,21.043942780000005,583,12.0,491
20.560956954956055,12.0,287744,0.0003,-2.2496676713228227,-0.016172576991084497,1400,0.4337890625,0.15568987,12.205255563557149,0.2,0.0,9.172049522399902,,,,,
24.26139259338379,12.0,288768,,,,,,,,,,,,,,,
14.021148681640625,12.0,289792,0.0003,-2.2410472631454468,-0.01743331444595242,1410,0.51123046875,0.17319357,12.812020108103752,0.2,0.0,7.892549991607666,,,,,
21.605152130126953,12.0,290816,,,,,,,,,,,,,,,
22.101917266845703,12.0,291840,0.0003,-2.2274020984768867,0.01784892555006081,1420,0.49033203125,0.20404854,12.164696815609933,0.2,-1.1920928955078125e-07,4.798869609832764,,,,,
20.99177360534668,12.0,292864,,,,,,,,,,,,,,,
13.85345458984375,12.0,293888,0.0003,-2.2314062520861624,0.0008137679687933996,1430,0.493212890625,0.1954206,11.796367269754409,0.2,5.960464477539063e-08,5.39337158203125,,,,,
13.313469886779785,12.0,294912,,,,,,,,,,,,,,,
23.795495986938477,12.0,295936,0.0003,-2.2377856306731703,0.018006488517858087,1440,0.466455078125,0.1840648,14.689767655730247,0.2,0.0,6.414449691772461,,,,,
23.495014190673828,12.0,296960,,,,,,,,,,,,,,,
16.668222427368164,12.0,297984,0.0003,-2.2546147435903547,0.009644897720863809,1450,0.39619140625,0.13557515,15.980561342835426,0.2,1.1920928955078125e-07,8.328713417053223,,,,,
22.388174057006836,12.0,299008,,,,,,,,,,,,,,,
19.138214111328125,12.0,300032,0.0003,-2.2578770384192466,-0.013234082666167523,1460,0.457080078125,0.16079322,14.022345922887325,0.2,-1.1920928955078125e-07,7.512136459350586,,,,,
13.53575325012207,12.0,301056,,,,,,,,,,,,,,,
18.053760528564453,12.0,302080,0.0003,-2.2674431659281256,-0.005026289443776477,1470,0.4318359375,0.13043794,12.590362618863583,0.2,0.0,5.711401462554932,,,,,
24.996417999267578,12.0,303104,,,,,,,,,,,,,,,
18.02992057800293,12.0,304128,0.0003,-2.2791614294052125,-0.008013576027587987,1480,0.407080078125,0.116123095,15.040689012408256,0.2,1.1920928955078125e-07,8.62468147277832,,,,,
18.74471664428711,12.0,305152,,,,,,,,,,,,,,,
23.8054256439209,12.0,306176,0.0003,-2.2550293833017347,-0.019789547959226182,1490,0.486279296875,0.15099037,12.089600239694118,0.2,0.0,7.2326507568359375,,,,,
15.763896942138672,12.0,307200,,,,,,,,,,,,,,,
,,307200,,,,,,,,,,,150,18.936983769999998,584,12.0,525
25.769594192504883,12.0,308224,0.0003,-2.2699840433895586,0.010202252893941477,1500,0.447900390625,0.15094496,14.209248608350753,0.2,-1.1920928955078125e-07,5.4195122718811035,,,,,
12.422919273376465,12.0,309248,,,,,,,,,,,,,,,
13.240951538085938,12.0,310272,0.0003,-2.286981704831123,-0.0005765077243268024,1510,0.405126953125,0.11924237,13.337361219525338,0.2,0.0,7.277688503265381,,,,,
12.426298141479492,12.0,311296,,,,,,,,,,,,,,,
16.212644577026367,12.0,312320,0.0003,-2.2895157411694527,-0.02790104049272486,1520,0.435986328125,0.09452546,12.641287577152251,0.2,5.960464477539063e-08,5.4806365966796875,,,,,
20.57980728149414,12.0,313344,,,,,,,,,,,,,,,
21.00196075439453,12.0,314368,0.0003,-2.2883365035057066,-0.02403290630900301,1530,0.4177734375,0.08337792,13.015421755611897,0.2,5.960464477539063e-08,6.914092063903809,,,,,
20.385698318481445,12.0,315392,,,,,,,,,,,,,,,
22.52277183532715,12.0,316416,0.0003,-2.291168086230755,-0.006196697160339682,1540,0.4052734375,0.092942394,11.821973676979542,0.2,0.0,4.9716315269470215,,,,,
15.658252716064453,12.0,317440,,,,,,,,,,,,,,,
14.088037490844727,12.0,318464,0.0003,-2.28173473700881,-0.023199545296665746,1550,0.37705078125,0.09284247,13.450011476874352,0.2,0.0,7.893870830535889,,,,,
23.719493865966797,12.0,319488,,,,,,,,,,,,,,,
23.969898223876953,12.0,320512,0.0003,-2.286705654859543,-0.02084180321544409,1560,0.43466796875,0.101282105,13.508687594532967,0.2,5.960464477539063e-08,6.069731712341309,,,,,
20.4716796875,12.0,321536,,,,,,,,,,,,,,,
22.584484100341797,12.0,322560,0.0003,-2.2757120952010155,-0.01352409650280606,1570,0.469677734375,0.14299707,11.877067442238332,0.2,0.0,7.884788513183594,,,,,
16.229032516479492,12.0,323584,,,,,,,,,,,,,,,
9.807558059692383,12.0,324608,0.0003,-2.269425866007805,-0.006808167850249447,1580,0.453857421875,0.1484919,14.69969488978386,0.2,-1.1920928955078125e-07,4.217055797576904,,,,,
12.594781875610352,12.0,325632,,,,,,,,,,,,,,,
22.34527587890625,12.0,326656,0.0003,-2.270462141931057,0.006191668589599431,1590,0.461083984375,0.146397,14.412228353321552,0.2,0.0,8.032824516296387,,,,,
11.633017539978027,12.0,327680,,,,,,,,,,,,,,,
,,327680,,,,,,,,,,,160,20.775194109999997,584,12.0,560
16.906253814697266,12.0,328704,0.0003,-2.251731126755476,3.9945692697074266e-05,1600,0.45869140625,0.15912177,11.994278056919574,0.2,-1.1920928955078125e-07,5.664276599884033,,,,,
13.898208618164062,12.0,329728,,,,,,,,,,,,,,,
9.68795394897461,12.0,330752,0.0003,-2.2287855744361877,-0.02760317697247956,1610,0.49970703125,0.17461719,13.28665055334568,0.2,0.0,6.945484161376953,,,,,
13.845861434936523,12.0,331776,,,,,,,,,,,,,,,
17.281009674072266,12.0,332800,0.0003,-2.262006330490112,-0.009549711368163117,1620,0.4841796875,0.14424336,15.947232243418693,0.2,5.960464477539063e-08,8.34124755859375,,,,,
19.7340087890625,12.0,333824,,,,,,,,,,,,,,,
14.331084251403809,12.0,334848,0.0003,-2.262783183157444,0.011254692640795838,1630,0.469287109375,0.14916705,18.214978507161142,0.2,0.0,8.2051420211792,,,,,
14.22331428527832,12.0,335872,,,,,,,,,,,,,,,
21.20332145690918,12.0,336896,0.0003,-2.283813665807247,-0.002558027570194099,1640,0.483837890625,0.13647151,14.704051697254181,0.2,0.0,7.760244369506836,,,,,
22.318527221679688,12.0,337920,,,,,,,,,,,,,,,
22.541885375976562,12.0,338944,0.0003,-2.26947625875473,0.00961416118661873,1650,0.4142578125,0.114700474,15.269219014048577,0.2,0.0,9.169584274291992,,,,,
23.861881256103516,12.0,339968,,,,,,,,,,,,,,,
7.883147239685059,12.0,340992,0.0003,-2.2951530113816263,0.0026989493358996696,1660,0.428515625,0.106635466,11.666279678046703,0.2,1.7881393432617188e-07,6.6874237060546875,,,,,
18.768957138061523,12.0,342016,,,,,,,,,,,,,,,
25.822546005249023,12.0,343040,0.0003,-2.305923443287611,-0.0017628922025323846,1670,0.38134765625,0.07701764,17.150054642558096,0.2,1.1920928955078125e-07,8.9448823928833,,,,,
20.8431396484375,12.0,344064,,,,,,,,,,,,,,,
18.135295867919922,12.0,345088,0.0003,-2.2933890730142594,-0.014297070860629901,1680,0.37509765625,0.088048816,13.5015659481287,0.2,0.0,5.581312656402588,,,,,
21.553300857543945,12.0,346112,,,,,,,,,,,,,,,
23.163406372070312,12.0,347136,0.0003,-2.3054748706519606,-0.014541872686822898,1690,0.4052734375,0.09646184,13.577498054504394,0.2,-1.1920928955078125e-07,6.370169162750244,,,,,
21.40488052368164,12.0,348160,,,,,,,,,,,,,,,
,,348160,,,,,,,,,,,170,17.19883964,585,12.0,594
7.516347885131836,12.0,349184,0.0003,-2.305454359203577,-0.014477824239293113,1700,0.40830078125,0.083131544,14.16853774189949,0.2,0.0,5.595682144165039,,,,,
17.27252769470215,12.0,350208,,,,,,,,,,,,,,,
12.9605712890625,12.0,351232,0.0003,-2.304299621284008,-0.02160731748881517,1710,0.41123046875,0.08248828,12.604609534144402,0.2,0.0,6.640220642089844,,,,,
19.93181610107422,12.0,352256,,,,,,,,,,,,,,,
9.24906063079834,12.0,353280,0.0003,-2.3011286087334155,-0.016870732653478625,1720,0.382666015625,0.09836438,13.466525302827359,0.2,0.0,7.065041542053223,,,,,
12.83275032043457,12.0,354304,,,,,,,,,,,,,,,
23.546043395996094,12.0,355328,0.0003,-2.2840285658836366,-0.017924570039031095,1730,0.38251953125,0.10714111,12.207300598919392,0.2,5.960464477539063e-08,6.152653694152832,,,,,
23.725208282470703,12.0,356352,,,,,,,,,,,,,,,
22.076566696166992,12.0,357376,0.0003,-2.2763193920254707,-0.02336626589676598,1740,0.45625,0.11963785,12.928719428181648,0.2,0.0,5.905153274536133,,,,,
22.505210876464844,12.0,358400,,,,,,,,,,,,,,,
24.997764587402344,12.0,359424,0.0003,-2.2798788242042063,-0.01663704912243702,1750,0.441064453125,0.12290175,14.651832993328572,0.2,5.960464477539063e-08,10.05702018737793,,,,,
16.393095016479492,12.0,360448,,,,,,,,,,,,,,,
22.11063003540039,12.0,361472,0.0003,-2.27252309396863,-0.015635149480658583,1760,0.390185546875,0.119219996,11.401024252176285,0.2,0.0,5.981210708618164,,,,,
18.495807647705078,12.0,362496,,,,,,,,,,,,,,,
14.34014892578125,12.0,363520,0.0003,-2.266368284076452,0.0012815049951313995,1770,0.426416015625,0.14948237,13.952374976873397,0.2,-1.1920928955078125e-07,7.574975490570068,,,,,
17.64711570739746,12.0,364544,,,,,,,,,,,,,,,
23.06817054748535,12.0,365568,0.0003,-2.278402988612652,-6.508572696475312e-05,1780,0.4205078125,0.11491649,10.510710388422012,0.2,0.0,6.330708980560303,,,,,
22.583606719970703,12.0,366592,,,,,,,,,,,,,,,
13.586814880371094,12.0,367616,0.0003,-2.2814573787152765,0.0010228417158941738,1790,0.44169921875,0.12101427,12.75868214070797,0.2,-1.1920928955078125e-07,6.560205459594727,,,,,
6.317888259887695,12.0,368640,,,,,,,,,,,,,,,
,,368640,,,,,,,,,,,180,21.023944419999992,586,12.0,628
9.455805778503418,12.0,369664,0.0003,-2.25972805544734,-0.018865124585863667,1800,0.394482421875,0.122784406,12.514201292395592,0.2,0.0,6.3312153816223145,,,,,
11.061179161071777,12.0,370688,,,,,,,,,,,,,,,
22.56381607055664,12.0,371712,0.0003,-2.2621955923736095,-0.003499436458514538,1810,0.389404296875,0.13216382,14.289167577028275,0.2,0.0,6.869970321655273,,,,,
21.15392303466797,12.0,372736,,,,,,,,,,,,,,,
22.383594512939453,12.0,373760,0.0003,-2.2419591307640077,0.007949349777481985,1820,0.433447265625,0.14351876,11.746693117916584,0.2,0.0,5.681931972503662,,,,,
24.08430290222168,12.0,374784,,,,,,,,,,,,,,,
25.40843391418457,12.0,375808,0.0003,-2.246538359671831,-0.02005674754473148,1830,0.434619140625,0.15855491,14.748191538453103,0.2,-1.1920928955078125e-07,9.086627006530762,,,,,
18.735376358032227,12.0,376832,,,,,,,,,,,,,,,
14.835029602050781,12.0,377856,0.0003,-2.2519465051591396,-0.02461857283487916,1840,0.51376953125,0.19199592,13.07751383036375,0.2,0.0,5.868393898010254,,,,,
23.7327938079834,12.0,378880,,,,,,,,,,,,,,,
24.200103759765625,12.0,379904,0.0003,-2.2623802490532396,-0.004357470669492614,1850,0.390234375,0.14364877,14.990941199660302,0.2,5.960464477539063e-08,8.417108535766602,,,,,
23.795215606689453,12.0,380928,,,,,,,,,,,,,,,
20.174072265625,12.0,381952,0.0003,-2.2400248482823373,-0.00603387827941333,1860,0.51162109375,0.16284224,10.226784434914588,0.2,1.1920928955078125e-07,3.700176954269409,,,,,
18.513151168823242,12.0,382976,,,,,,,,,,,,,,,
19.117977142333984,12.0,384000,0.0003,-2.2573874428868295,-0.016566941954079085,1870,0.4267578125,0.12554607,13.578384521603585,0.2,5.960464477539063e-08,5.5483245849609375,,,,,
21.057405471801758,12.0,385024,,,,,,,,,,,,,,,
19.49400520324707,12.0,386048,0.0003,-2.2538573503494264,-0.02488203980901744,1880,0.4796875,0.15536824,13.30552327632904,0.2,0.0,7.486423015594482,,,,,
13.419403076171875,12.0,387072,,,,,,,,,,,,,,,
18.764907836914062,12.0,388096,0.0003,-2.253636580705643,-0.015618192456895486,1890,0.4291015625,0.16566205,11.298940229415894,0.2,0.0,5.808287620544434,,,,,
21.25832176208496,12.0,389120,,,,,,,,,,,,,,,
,,389120,,,,,,,,,,,190,17.260537340000003,586,12.0,662
17.24222183227539,12.0,390144,0.0003,-2.2589197143912316,0.006111907531158067,1900,0.433349609375,0.16510345,16.354717594385146,0.2,-1.1920928955078125e-07,6.784677505493164,,,,,
21.104755401611328,12.0,391168,,,,,,,,,,,,,,,
12.170400619506836,12.0,392192,0.0003,-2.277311708778143,0.037921505766280464,1910,0.4482421875,0.14612651,14.97879879772663,0.2,-1.1920928955078125e-07,8.798541069030762,,,,,
17.931987762451172,12.0,393216,,,,,,,,,,,,,,,
19.10943031311035,12.0,394240,0.0003,-2.2544762559235094,-0.019555447425227614,1920,0.435595703125,0.14293256,13.00778592377901,0.2,-1.1920928955078125e-07,7.014702320098877,,,,,
16.524532318115234,12.0,395264,,,,,,,,,,,,,,,
18.08605194091797,12.0,396288,0.0003,-2.2713837660849094,0.004466706974199042,1930,0.385693359375,0.114005655,14.656787598133088,0.2,0.0,8.204334259033203,,,,,
22.251190185546875,12.0,397312,,,,,,,,,,,,,,,
